City,highest_expense_type,lowest_expense_type
"Rudrapur, India",Grocery,Entertainment
"Roorkee, India",Fuel,Entertainment
"Makhdumpur, India",Grocery,Bills
"Venkatagiri, India",Fuel,Bills
"Chikkamagaluru, India",Grocery,Bills
"Jodhpur, India",Fuel,Entertainment
"Rishikesh, India",Grocery,Bills
"Kottayam, India",Grocery,Entertainment
"Nagina, India",Grocery,Food
"Dehri-on-Sone, India",Grocery,Bills
"Morshi, India",Grocery,Bills
"Vadakkuvalliyur, India",Grocery,Bills
"Baleshwar Town, India",Grocery,Bills
"Sahibganj, India",Grocery,Entertainment
"Sasaram, India",Grocery,Bills
"Sidlaghatta, India",Grocery,Bills
"Tenkasi, India",Grocery,Food
"Sonipat, India",Grocery,Bills
"Talikota, India",Grocery,Entertainment
"Samana, India",Food,Bills
"Anantnag, India",Grocery,Entertainment
"Silchar, India",Grocery,Bills
"Gurgaon, India",Grocery,Bills
"Palghar, India",Fuel,Entertainment
"Kendrapara, India",Fuel,Bills
"Mahesana, India",Grocery,Bills
"Shajapur, India",Grocery,Bills
"Panruti, India",Grocery,Bills
"Najibabad, India",Grocery,Bills
"Chatra, India",Grocery,Bills
"Buxar, India",Grocery,Bills
"Jhansi, India",Grocery,Bills
"Terdal, India",Grocery,Bills
"Loni, India",Grocery,Bills
"Tadpatri, India",Grocery,Bills
"Mangrol, India",Grocery,Bills
"Shrirampur, India",Food,Bills
"Ladwa, India",Grocery,Food
"Mangrulpir, India",Grocery,Bills
"Nuzvid, India",Fuel,Bills
"Sihor, India",Grocery,Food
"Jagtial, India",Grocery,Entertainment
"Sadulpur, India",Fuel,Bills
"Sheikhpura, India",Grocery,Bills
"Perumbavoor, India",Grocery,Bills
"Dharmavaram, India",Grocery,Bills
"Tiptur, India",Fuel,Entertainment
"Bikaner, India",Grocery,Entertainment
"Sibsagar, India",Grocery,Bills
"Bhagalpur, India",Fuel,Bills
"Deesa, India",Grocery,Entertainment
"Tumkur, India",Grocery,Bills
"Maddur, India",Grocery,Bills
"Pasan, India",Grocery,Entertainment
"Raipur, India",Grocery,Bills
"Hoshiarpur, India",Grocery,Bills
"Navsari, India",Grocery,Bills
"Bhubaneswar, India",Fuel,Bills
"Sankari, India",Grocery,Bills
"Bokaro Steel City, India",Grocery,Bills
"Sivaganga, India",Food,Entertainment
"Bharuch, India",Grocery,Bills
"Sundargarh, India",Grocery,Entertainment
"Raver, India",Grocery,Bills
"Kurnool, India",Grocery,Bills
"Barbil, India",Grocery,Entertainment
"Chilakaluripet, India",Grocery,Bills
"Sanand, India",Grocery,Bills
"Sailu, India",Grocery,Bills
"Puliyankudi, India",Grocery,Bills
"Pandhurna, India",Grocery,Bills
"Periyakulam, India",Grocery,Bills
"Muddebihal, India",Fuel,Bills
"Washim, India",Grocery,Entertainment
"Shrigonda, India",Grocery,Bills
